              Australian Bureau of Statistics,,,,,,,,,,,
"31010do002_202312 National, state and territory population, Dec 2023",,,,,,,,,,,
Released at 11:30 am (Canberra time) Thu 13 Jun 2024,,,,,,,,,,,
"Table 8 Estimated resident population, by age and sex–at 30 June 2023",,,,,,,,,,,
Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,,
MALES,,,,,,,,,,,
60,"48,685","37,581","31,755","11,457","16,876","3,798","1,330","2,175","153,701",,
61,"48,471","36,996","31,518","11,372","16,342","3,996","1,317","2,139","152,194",,
62,"47,170","36,328","31,202","11,505","16,126","3,899","1,216","2,064","149,539",,
63,"45,172","34,705","29,850","11,022","15,381","3,767","1,141","2,015","143,097",,
64,"44,174","34,369","28,894","10,787","14,813","3,734","1,135","1,859","139,805",,
60-64,"233,672","179,979","153,219","56,143","79,538","19,194","6,139","10,252","738,336",,
65,"43,120","32,927","27,870","10,580","14,287","3,677","1,019","1,796","135,317",,
66,"41,833","32,046","27,268","10,189","13,972","3,511",996,"1,756","131,605",,
67,"40,547","31,576","26,614","9,938","13,824","3,606",944,"1,696","128,783",,
68,"39,062","30,123","25,613","9,797","12,829","3,385",849,"1,569","123,263",,
69,"37,878","28,878","24,684","9,399","12,367","3,185",833,"1,613","118,867",,
65-69,"202,440","155,550","132,049","49,903","67,279","17,364","4,641","8,430","637,835",,
70,"37,142","28,287","24,630","9,395","12,103","3,325",751,"1,600","117,262",,
71,"35,459","27,366","24,057","9,057","11,841","3,267",709,"1,498","113,289",,
72,"35,276","26,681","23,409","8,849","11,662","3,087",665,"1,495","111,169",,
73,"34,290","25,891","22,671","8,754","11,133","3,025",685,"1,505","107,997",,
74,"33,014","24,818","22,035","8,381","10,777","2,819",583,"1,450","103,906",,
70-74,"175,181","133,043","116,802","44,436","57,516","15,523","3,393","7,548","553,623",,
75,"33,298","24,892","21,720","8,250","10,708","2,893",537,"1,456","103,778",,
76,"33,183","25,318","22,004","8,618","10,750","3,004",508,"1,479","104,878",,
77,"27,372","20,922","18,071","6,919","8,351","2,273",410,"1,234","85,567",,
78,"25,499","19,017","16,969","6,371","7,842","2,102",377,"1,068","79,260",,
79,"23,698","17,482","15,223","5,807","7,319","2,008",301,979,"72,834",,
75-79,"143,050","107,631","93,987","35,965","44,970","12,280","2,133","6,216","446,317",,
